ToolName	SP	SP_NAME
М-25.1500 (51).xlsx	51.04.00.01.00	Корпус
М-25.1500 (51).xlsx	51.04.00.02.00	Стакан-изолятор
М-25.1500 (51).xlsx	51.04.03.02.00	Корпус щёткодержателя
М-25.1500 (51).xlsx	51.04.00.06.00	Винт стопорный
М-25.1500 (51).xlsx	51.04.01.00.00	Статор
М-25.1500 (51).xlsx	00.02.04.04.01	Винт
М-25.1500 (51).xlsx	51.04.00.05.00	Шайба изоляционная
М-25.1500 (51).xlsx	00.02.03.01.41	Винт
М-25.1500 (51).xlsx	00.02.02.02.13	Шайба плоская
М-25.1500 (51).xlsx	51.04.00.03.00	Диафрагма
М-25.1500 (51).xlsx	51.04.02.01.00	Якорь с вентилятором
М-25.1500 (51).xlsx	51.04.02.02.00	Кольцо амортизатор
М-25.1500 (51).xlsx	00.01.01.01.30	Подшипник шариковый 6201.2RS
М-25.1500 (51).xlsx	00.02.04.05.05	Винт
М-25.1500 (51).xlsx	00.02.04.04.06	Винт
М-25.1500 (51).xlsx	00.02.03.01.06	Винт
М-25.1500 (51).xlsx	51.03.00.02.00	Щит промежуточный
М-25.1500 (51).xlsx	00.01.01.01.29	Подшипник шариковый 6203.2RS 
М-25.1500 (51).xlsx	51.03.00.09.00	Крышка подшипника
М-25.1500 (51).xlsx	00.01.01.01.16	Подшипник шариковый 6001.2RS
М-25.1500 (51).xlsx	51.03.00.04.00	Колесо зубчатое
М-25.1500 (51).xlsx	00.01.01.01.41	Подшипник шариковый 6201.2RZ
М-25.1500 (51).xlsx	00.01.01.01.47	Подшипник шариковый 6205Z 
М-25.1500 (51).xlsx	51.03.00.05.00	Крышка подшипника
М-25.1500 (51).xlsx	51.03.01.01.00	Кривошип
М-25.1500 (51).xlsx	51.03.01.02.00	Втулка 
М-25.1500 (51).xlsx	51.03.00.06.00	Кольцо регулировочное
М-25.1500 (51).xlsx	51.03.01.03.00	Шпонка
М-25.1500 (51).xlsx	51.03.00.07.00	Колесо зубчатое
М-25.1500 (51).xlsx	00.01.01.01.48	Подшипник шариковый 6302.Z
М-25.1500 (51).xlsx	51.03.00.08.00	Шайба
М-25.1500 (51).xlsx	51.03.00.11.00	Штифт
М-25.1500 (51).xlsx	51.03.00.10.00	Крышка редуктора
М-25.1500 (51).xlsx	00.02.02.01.06	Шайба гроверная ?6
М-25.1500 (51).xlsx	00.02.02.01.06	Шайба гроверная ?3
М-25.1500 (51).xlsx	00.02.04.04.11	Винт
М-25.1500 (51).xlsx	51.03.01.04.00	Шатун
М-25.1500 (51).xlsx	00.01.02.01.15	Подшипник роликовый НК1820B
М-25.1500 (51).xlsx	51.03.01.05.00	Шайба
М-25.1500 (51).xlsx	51.03.01.06.00	Винт
М-25.1500 (51).xlsx	00.02.02.01.08	Шайба гроверная ? 8
М-25.1500 (51).xlsx	00.02.02.01.08	Шайба гроверная ? 8
М-25.1500 (51).xlsx	51.03.00.03.00	Крышка подшипника
М-25.1500 (51).xlsx	51.02.01.08.00	Кольцо регулировочное
М-25.1500 (51).xlsx	51.03.01.07.00	Поршень
М-25.1500 (51).xlsx	51.03.01.08.00	Манжета
М-25.1500 (51).xlsx	51.03.01.09.00	Палец 
М-25.1500 (51).xlsx	51.02.02.01.00	Ударник 
М-25.1500 (51).xlsx	51.02.01.01.00	Корпус ствола
М-25.1500 (51).xlsx	00.02.04.04.20	Болт
М-25.1500 (51).xlsx	51.02.02.02.00	Кольцо уплотнительное
М-25.1500 (51).xlsx	51.02.02.03.00	Кольцо
М-25.1500 (51).xlsx	51.02.02.04.00	Прокладка резиновая
М-25.1500 (51).xlsx	51.02.02.04.01	Втулка-стопор
М-25.1500 (51).xlsx	51.02.02.05.00	Втулка 
М-25.1500 (51).xlsx	51.02.02.06.00	Кольцо уплотнительное
М-25.1500 (51).xlsx	51.02.02.07.00	Втулка полиуретановая
М-25.1500 (51).xlsx	51.03.00.01.00	Прокладка
М-25.1500 (51).xlsx	51.03.00.14.00	Фитиль 
М-25.1500 (51).xlsx	51.03.00.13.00	Пробка
М-25.1500 (51).xlsx	51.03.00.12.00	Прокладка
М-25.1500 (51).xlsx	00.02.04.01.02	Винт М4х12
М-25.1500 (51).xlsx	00.02.02.01.04	Шайба гроверная ? 4
М-25.1500 (51).xlsx	51.03.00.15.00	Маслоуказатель
М-25.1500 (51).xlsx	51.03.00.16.00	Крышка
М-25.1500 (51).xlsx	51.03.00.17.00	Прокладка
М-25.1500 (51).xlsx	00.02.04.01.01	Винт М4х10
М-25.1500 (51).xlsx	51.04.03.03.00	Щётка электрическая
М-25.1500 (51).xlsx	51.04.03.01.00	Крышка
М-25.1500 (51).xlsx	51.02.01.02.00	Букса 
М-25.1500 (51).xlsx	51.02.01.03.00	Втулка
М-25.1500 (51).xlsx	00.02.04.04.12	Болт
М-25.1500 (51).xlsx	51.02.01.04.00	Стопор
М-25.1500 (51).xlsx	51.02.01.05.00	Пружина
М-25.1500 (51).xlsx	51.02.01.06.00	Шайба
М-25.1500 (51).xlsx	51.05.00.09.00	Винт специальный
М-25.1500 (51).xlsx	51.02.01.07.00	Штифт
М-25.1500 (51).xlsx	51.04.00.04.00	Крышка двигателя
М-25.1500 (51).xlsx	00.10.01.04.14	Выключатель
М-25.1500 (51).xlsx	51.04.00.08.00	Ручка
М-25.1500 (51).xlsx	00.02.04.04.14	Винт
М-25.1500 (51).xlsx	51.04.00.09.00	Втулка
М-25.1500 (51).xlsx	00.10.04.01.08	Конденсатор
М-25.1500 (51).xlsx	306.04.00.09.00	Втулка защитная шнура
М-25.1500 (51).xlsx	00.10.02.02.01	Шнур питания с вилкой
М-25.1500 (51).xlsx	51.04.00.13.00	Планка фиксации шнура
М-25.1500 (51).xlsx	00.02.02.02.02	Шайба 
М-25.1500 (51).xlsx	00.02.04.04.15	Болт
М-25.1500 (51).xlsx	51.04.00.11.00	Дроссель
М-25.1500 (51).xlsx	51.04.00.12.00	Ручка-накладка
М-25.1500 (51).xlsx	51.04.00.10.00	Фиксатор
М-25.1500 (51).xlsx	51.05.00.01.00	Хомут
М-25.1500 (51).xlsx	51.05.00.02.00	Вставка
М-25.1500 (51).xlsx	306.05.01.02.00	Болт специальный
М-25.1500 (51).xlsx	51.05.00.04.00	Маховик
М-25.1500 (51).xlsx	51.05.00.05.00	Гайка специальная
М-25.1500 (51).xlsx	51.05.00.06.00	Рукоятка
М-25.1500 (51).xlsx	51.05.00.08.00	Накладка
М-25.1500 (51).xlsx	00.10.09.01.01	Колодка клеммная
М-25.1500 (51).xlsx	51.04.00.07.00	Прокладка
М-25.1500 (51).xlsx	51.01.04.01.00	Ключ S7
М-25.1500 (51).xlsx	51.01.04.02.00	Ключ S5
М-25.1500 (51).xlsx	51.01.04.03.00	Ключ накидной
М-25.1500 (51).xlsx	51.01.04.04.00	Флакон-маслёнка
М-25.1500 (51).xlsx	51.01.04.05.00	Ключ S3
М-25.1500 (51).xlsx	51.01.04.05.00	Отвёртка
ИСА-140.5,8 (659).xlsx	659.05.00.02.01	Ремень транспортировочный
ИСА-140.5,8 (659).xlsx	659.05.00.03.02	Кожух
